date,expiry,T,T_bucket,beta,sabr_rmse,js_rmse
2024-03-01,2024-04-26,0.1533196440793976,Medium,0.5,0.47612257636466854,0.03603534034468659
2024-03-01,2024-04-26,0.1533196440793976,Medium,0.7,0.2645295444829494,0.08446818521886172
2024-03-01,2024-04-26,0.1533196440793976,Medium,1.0,0.004970806065875594,0.004974737070862664
2025-01-10,2025-02-28,0.1341546885694729,Medium,0.5,0.4285850510223043,0.026637078310797604
2025-01-10,2025-02-28,0.1341546885694729,Medium,0.7,0.23434344471029173,0.0504050598488848
2025-01-10,2025-02-28,0.1341546885694729,Medium,1.0,0.00419853667982368,0.004205178844763008
2025-09-19,2025-11-28,0.191649555099247,Medium,0.5,0.2323469662730962,0.03950760845146319
2025-09-19,2025-11-28,0.191649555099247,Medium,0.7,0.10532900412126908,0.06283358266824028
2025-09-19,2025-11-28,0.191649555099247,Medium,1.0,0.0019681061852472046,0.0019727991562262796
2026-02-06,2026-04-24,0.2108145106091718,Medium,0.5,0.36503977609920485,0.06990929984173394
2026-02-06,2026-04-24,0.2108145106091718,Medium,0.7,0.18205679293184776,0.12185927603110357
2026-02-06,2026-04-24,0.2108145106091718,Medium,1.0,0.022697936767650383,0.022698940261860864
2024-09-27,2024-11-29,0.1724845995893223,Medium,0.5,0.39520296987781517,0.3714797443854536
2024-09-27,2024-11-29,0.1724845995893223,Medium,0.7,0.19663368500424303,0.09683767884159498
2024-09-27,2024-11-29,0.1724845995893223,Medium,1.0,0.003412652922704132,0.0034158699093626388
2025-05-23,2025-07-25,0.1724845995893223,Medium,0.5,0.34506459688134716,0.10952480758623988
2025-05-23,2025-07-25,0.1724845995893223,Medium,0.7,0.17219387788630966,0.06567493189344732
2025-05-23,2025-07-25,0.1724845995893223,Medium,1.0,0.0032488103474583247,0.0032536345978235646
2024-12-13,2025-02-28,0.2108145106091718,Medium,0.5,0.4369853518755776,0.02465131686983465
2024-12-13,2025-02-28,0.2108145106091718,Medium,0.7,0.2406828484700829,0.07054225225739992
2024-12-13,2025-02-28,0.2108145106091718,Medium,1.0,0.0026299696365547267,0.0026379774016146488
2024-05-03,2024-06-28,0.1533196440793976,Medium,0.5,0.3691472060127069,0.3680163357463823
2024-05-03,2024-06-28,0.1533196440793976,Medium,0.7,0.17597562628950278,0.036598648313956005
2024-05-03,2024-06-28,0.1533196440793976,Medium,1.0,0.005144723615998721,0.005132627704066346
2025-11-28,2026-01-30,0.1724845995893223,Medium,0.5,0.28323607755740565,0.04050993356302324
2025-11-28,2026-01-30,0.1724845995893223,Medium,0.7,0.1383162143398899,0.08079709643143064
2025-11-28,2026-01-30,0.1724845995893223,Medium,1.0,0.004515317976420583,0.004519110397207543
2024-02-09,2024-03-29,0.1341546885694729,Medium,0.5,0.302462562452584,0.2942858493848946
2024-02-09,2024-03-29,0.1341546885694729,Medium,0.7,0.1131344529876986,0.05483365671244862
2024-02-09,2024-03-29,0.1341546885694729,Medium,1.0,0.011828262471932695,0.011828784961660205
2024-09-06,2024-11-29,0.2299794661190965,Medium,0.5,0.38941821136289656,0.025142562055767623
2024-09-06,2024-11-29,0.2299794661190965,Medium,0.7,0.1755537207104412,0.10339611988963701
2024-09-06,2024-11-29,0.2299794661190965,Medium,1.0,0.005047031517238368,0.005052192974989659
2025-10-17,2025-11-28,0.1149897330595482,Medium,0.5,0.3103013908938559,
2025-10-17,2025-11-28,0.1149897330595482,Medium,0.7,0.15578763339601737,0.10369195922978112
2025-10-17,2025-11-28,0.1149897330595482,Medium,1.0,0.004938088737888089,0.004938688033649308
2025-10-31,2025-12-26,0.1533196440793976,Medium,0.5,0.27783168947064923,0.2756259282778317
2025-10-31,2025-12-26,0.1533196440793976,Medium,0.7,0.14193257868264528,0.10444545201295295
2025-10-31,2025-12-26,0.1533196440793976,Medium,1.0,0.06082802330109715,0.06082808123191625
2024-03-15,2024-04-26,0.1149897330595482,Medium,0.5,0.5759561021689258,0.5759561023891647
