date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-06-28,2024-08-30,0.1725,0.4124,1.0084,-0.1,0.3113,0.00509,0.004684,0.005106
2024-06-28,2024-09-27,0.2491,0.431,1.0063,-0.1,0.3578,0.007462,0.006773,0.006774
2024-06-28,2024-07-26,0.0767,0.4024,1.0039,0.1,0.2242,0.009038,0.005512,0.004018
2024-06-28,2024-07-12,0.0383,0.3526,4.0709,-0.1,0.1071,0.007446,0.007604,0.004401
2024-06-28,2024-07-05,0.0192,0.375,1.0007,-0.1,0.1388,0.009368,0.01422,0.009454
2024-06-28,2024-07-19,0.0575,0.389,1.0019,-0.1,0.1825,0.007138,0.006832,0.006852
2024-07-05,2024-07-12,0.0192,0.3918,20.0,-0.0998,0.0991,0.038453,0.031475,0.029169
2024-07-05,2024-07-19,0.0383,0.4761,1.0045,0.1,0.2828,0.026548,0.019542,0.02152
2024-07-05,2024-07-26,0.0575,0.4728,0.9997,0.1,0.2137,0.016951,0.016415,0.016333
2024-07-05,2024-08-30,0.1533,0.4706,1.0,0.1,0.1645,0.007867,0.007809,0.007837
2024-07-05,2024-09-27,0.23,0.433,1.0137,0.1,0.3506,0.010709,0.010647,0.010648
2024-07-05,2024-12-27,0.4791,0.5422,1.0085,0.1,0.2562,0.007843,0.004634,0.004629
2024-07-12,2024-12-27,0.46,0.4046,1.016,0.1,0.4826,0.002571,0.002575,0.002582
2024-07-12,2024-09-27,0.2108,0.4478,1.008,-0.1,0.2452,0.009274,0.003533,0.002577
2024-07-12,2024-08-30,0.1342,0.4335,1.0026,-0.1,0.2084,0.004341,0.004166,0.004168
2024-07-12,2024-07-26,0.0383,0.4289,0.9991,0.1,0.1794,0.012618,0.009691,0.009653
2024-07-12,2024-07-19,0.0192,0.427,1.0004,0.1,0.1635,0.019646,0.017653,0.010678
2024-07-12,2024-08-02,0.0575,0.4305,1.0001,0.1,0.1485,0.009696,0.005002,0.005165
2024-07-19,2024-07-26,0.0192,0.4354,5.3467,-0.1,0.1594,0.038446,0.01323,0.0135
2024-07-19,2024-08-02,0.0383,0.4661,2.5354,0.1001,0.2791,0.030006,0.011663,0.011808
2024-07-19,2024-08-09,0.0575,0.3548,9.8303,0.1,0.1618,0.015154,0.010425,0.010232
2024-07-19,2024-08-30,0.115,0.479,1.0165,-0.1,0.4194,0.015324,0.009445,0.009445
2024-07-19,2024-09-27,0.1916,0.3853,1.0246,-0.1,0.5994,0.013546,0.005213,0.005004
2024-07-19,2024-11-08,0.3066,0.3776,1.0161,-0.1,0.6516,0.004603,0.002746,0.002755
2024-07-19,2024-12-27,0.4408,0.3538,0.9989,-0.1,0.6728,0.011419,0.003418,0.003402
2024-07-26,2024-10-25,0.2491,0.4503,1.016,0.1,0.5176,0.004334,0.002425,0.002396
2024-07-26,2024-12-27,0.4216,0.3794,1.0151,0.1,0.6314,0.00537,0.002508,0.002503
2024-07-26,2024-09-27,0.1725,0.5234,1.0065,-0.1,0.353,0.016596,0.003121,0.003121
2024-07-26,2024-08-09,0.0383,0.5651,1.0228,-0.1,0.4791,0.01571,0.006637,0.008308
2024-07-26,2024-08-16,0.0575,0.5331,1.0181,-0.1,0.4317,0.009407,0.008011,0.007092
2024-07-26,2024-08-02,0.0192,0.5352,10.7435,0.0999,0.1714,0.021645,0.007702,0.010515
2024-07-26,2024-08-30,0.0958,0.4953,1.018,-0.1,0.4434,0.014029,0.005672,0.005735
2024-08-02,2024-08-09,0.0192,0.4458,0.5178,0.1,0.165,0.019314,0.020328,0.016396
2024-08-02,2024-08-16,0.0383,0.4321,0.9986,0.1,0.1925,0.014306,0.013344,0.013023
2024-08-02,2024-08-23,0.0575,0.2709,20.0,-0.0994,0.0872,0.028372,0.008842,0.007455
2024-08-02,2024-08-30,0.0767,0.4304,1.0029,-0.1,0.2291,0.011039,0.010357,0.010387
2024-08-02,2024-09-27,0.1533,0.4236,1.0089,-0.1,0.3178,0.005918,0.004781,0.00484
2024-08-02,2024-10-25,0.23,0.3996,1.0145,-0.1,0.395,0.0056,0.005608,0.005606
2024-08-02,2024-11-08,0.2683,0.4131,1.0151,-0.1,0.4124,0.001148,0.002559,0.000965
2024-08-02,2024-12-27,0.4025,0.4192,1.0158,-0.1,0.429,0.004442,0.003581,0.00311
2024-08-09,2024-12-27,0.3833,0.4063,1.0208,0.1,0.5299,0.005822,0.003009,0.003004
2024-08-09,2024-11-08,0.2491,0.4401,1.02,0.1,0.4587,0.004564,0.003806,0.002943
2024-08-09,2024-10-25,0.2108,0.4141,1.0195,-0.1,0.4584,0.007781,0.007412,0.006924
