instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-26JUN26-58000-C,BTC,2026-06-26,58000.0,C,0.2776721641236976,74445.46,0.5614,0.5466,0.5699000000000001,0.2498,10.4,0.0,0.7790938493764428
BTC-26JUN26-60000-C,BTC,2026-06-26,60000.0,C,0.277672151568497,74445.46,0.5498,0.5362,0.5574,0.2284,521.0,0.0,0.8059591545273546
BTC-26JUN26-62000-C,BTC,2026-06-26,62000.0,C,0.277672136983199,74447.0,0.5389,0.5273,0.5435,0.2078,6.9,0.0,0.8328072319905436
BTC-26JUN26-64000-C,BTC,2026-06-26,64000.0,C,0.2776721248529673,74447.0,0.5303,0.5195000000000001,0.5345,0.1882,13.8,0.0,0.8596719814095934
BTC-26JUN26-65000-C,BTC,2026-06-26,65000.0,C,0.27767211284280174,74447.0,0.526,0.518,0.5324,0.1788,1024.0,0.2,0.8731043561191183
BTC-26JUN26-66000-C,BTC,2026-06-26,66000.0,C,0.2776721003423581,74446.9,0.5215,0.5121,0.5261,0.1697,125.6,0.4,0.8865379216595991
BTC-26JUN26-68000-C,BTC,2026-06-26,68000.0,C,0.2776720874449895,74446.9,0.5143,0.5102,0.5181,0.1523,1068.8,1.9,0.9134027071644354
BTC-26JUN26-70000-C,BTC,2026-06-26,70000.0,C,0.2776720748932745,74443.15,0.5075,0.5027,0.5129,0.136,1478.2,4.9,0.9403148577135708
BTC-26JUN26-72000-C,BTC,2026-06-26,72000.0,C,0.2776720633859356,74443.15,0.502,0.4975,0.5047999999999999,0.121,1047.4,9.0,0.967180996505387
BTC-26JUN26-74000-C,BTC,2026-06-26,74000.0,C,0.277672050073548,74442.63,0.49700000000000005,0.49420000000000003,0.499,0.1071,238.5,16.9,0.9940540789598648
BTC-26JUN26-75000-C,BTC,2026-06-26,75000.0,C,0.27767203380599287,74441.63,0.4943,0.4919,0.49670000000000003,0.1005,1261.3,13.5,1.0075007761114312
