date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-06-14,2024-09-27,0.2875,0.4133,2.9971,0.0908,0.4531,0.4319,0.004332,0.00385,0.003842
2024-06-14,2024-08-30,0.2108,0.08,7.9988,0.4561,1.0355,0.4178,0.003931,0.003582,0.003541
2024-06-14,2024-07-05,0.0575,0.2243,7.9561,0.1849,2.7804,-0.0204,0.004605,0.003429,0.00577
2024-06-14,2024-06-28,0.0383,0.1969,7.8908,0.3924,5.0,-0.1059,0.020352,0.015493,0.015493
2024-06-14,2024-06-21,0.0192,0.126,7.9948,0.9184,5.0,0.203,0.024063,0.010978,0.013275
2024-06-21,2024-07-05,0.0383,0.2183,7.8246,0.2238,5.0,-0.1429,0.015249,0.007126,0.003121
2024-06-21,2024-07-12,0.0575,0.0189,7.5946,1.0751,4.2372,-0.0785,0.004444,0.004077,0.004214
2024-06-21,2024-07-26,0.0958,0.0176,7.9478,0.8057,3.9983,-0.1017,0.003094,0.002824,0.006631
2024-06-21,2024-08-30,0.1916,0.4192,7.9985,0.1043,1.0252,0.344,0.00449,0.004311,0.003412
2024-06-21,2024-09-27,0.2683,0.4482,3.0044,0.0605,1.414,0.1121,0.002855,0.002838,0.002834
2024-06-28,2024-08-30,0.1725,0.3913,7.9966,0.0581,1.0654,0.2603,0.004961,0.004684,0.005106
2024-06-28,2024-09-27,0.2491,0.4687,2.9238,0.0001,2.0182,-0.1031,0.00667,0.006773,0.006774
2024-06-28,2024-07-26,0.0767,0.2939,7.916,0.0001,2.5843,-0.1207,0.004595,0.005512,0.004018
2024-06-28,2024-07-12,0.0383,0.0038,7.9519,1.3203,4.8919,-0.1751,0.008237,0.007604,0.004401
2024-06-28,2024-07-05,0.0192,0.1463,7.978,0.0023,2.3627,0.655,0.033285,0.01422,0.009454
2024-06-28,2024-07-19,0.0575,0.1994,7.9632,0.1482,2.4371,-0.0704,0.00735,0.006832,0.006852
2024-07-05,2024-07-12,0.0192,0.3916,7.9704,0.0001,5.0,-0.0457,0.045225,0.031475,0.029169
2024-07-05,2024-07-19,0.0383,0.2604,7.8962,0.606,5.0,-0.1391,0.020526,0.019542,0.02152
2024-07-05,2024-07-26,0.0575,0.3447,7.9473,0.0077,2.7462,-0.111,0.016313,0.016415,0.016333
2024-07-05,2024-08-30,0.1533,0.0162,8.0092,0.56,0.8371,0.0324,0.007824,0.007809,0.007837
2024-07-05,2024-09-27,0.23,0.3689,3.0,0.0842,1.0132,0.0616,0.010753,0.010647,0.010648
2024-07-05,2024-12-27,0.4791,0.4183,0.9973,0.1023,0.3438,0.3309,0.00548,0.004634,0.004629
2024-07-12,2024-12-27,0.46,0.3935,0.9978,0.0937,0.4544,0.398,0.002685,0.002575,0.002582
2024-07-12,2024-09-27,0.2108,0.4233,7.997,0.091,0.4662,0.4535,0.003947,0.003533,0.002577
2024-07-12,2024-08-30,0.1342,0.0412,8.0208,0.5085,0.9511,0.1615,0.004202,0.004166,0.004168
2024-07-12,2024-07-26,0.0383,0.1252,7.9911,0.9824,5.0,-0.2539,0.011309,0.009691,0.009653
2024-07-12,2024-07-19,0.0192,0.14,8.033,1.1742,5.0,-0.0106,0.035177,0.017653,0.010678
2024-07-12,2024-08-02,0.0575,0.1586,7.9904,0.4064,1.405,0.0069,0.010702,0.005002,0.005165
2024-07-19,2024-07-26,0.0192,0.3352,7.9872,0.0001,5.0,0.3802,0.021972,0.01323,0.0135
2024-07-19,2024-08-02,0.0383,0.1414,8.0186,1.7236,4.8388,0.365,0.012766,0.011663,0.011808
2024-07-19,2024-08-09,0.0575,0.4117,7.8875,0.1003,3.2633,0.2186,0.010857,0.010425,0.010232
2024-07-19,2024-08-30,0.115,0.4127,2.9742,0.0199,1.8057,0.1918,0.009473,0.009445,0.009445
2024-07-19,2024-09-27,0.1916,0.426,0.9425,0.0461,2.1053,0.1788,0.005481,0.005213,0.005004
2024-07-19,2024-11-08,0.3066,0.3751,0.991,0.4893,1.0631,0.4371,0.002748,0.002746,0.002755
2024-07-19,2024-12-27,0.4408,0.48,0.8862,0.4265,1.6893,0.1719,0.003515,0.003418,0.003402
2024-07-26,2024-10-25,0.2491,0.4171,1.0003,0.1036,0.9863,0.2745,0.002411,0.002425,0.002396
2024-07-26,2024-12-27,0.4216,0.4083,1.0053,0.5076,0.969,0.2044,0.002576,0.002508,0.002503
2024-07-26,2024-09-27,0.1725,0.4199,0.9648,0.0561,1.8183,0.1571,0.002812,0.003121,0.003121
2024-07-26,2024-08-09,0.0383,0.5069,7.9535,0.1333,4.9074,0.1547,0.00781,0.006637,0.008308
2024-07-26,2024-08-16,0.0575,0.4207,0.9956,0.0439,3.2187,0.0998,0.009068,0.008011,0.007092
2024-07-26,2024-08-02,0.0192,0.5872,7.991,0.0001,5.0,0.4193,0.027568,0.007702,0.010515
2024-07-26,2024-08-30,0.0958,0.4398,2.964,0.001,2.317,0.1536,0.005727,0.005672,0.005735
2024-08-02,2024-08-09,0.0192,0.174,7.9663,0.1152,1.8561,0.9523,0.040022,0.020328,0.016396
2024-08-02,2024-08-16,0.0383,0.2445,7.9588,0.4055,4.7636,-0.2899,0.017092,0.013344,0.013023
2024-08-02,2024-08-23,0.0575,0.3384,7.903,0.0001,3.8773,-0.3184,0.007201,0.008842,0.007455
2024-08-02,2024-08-30,0.0767,0.3316,7.9439,0.0332,2.8064,-0.1736,0.010511,0.010357,0.010387
2024-08-02,2024-09-27,0.1533,0.49,7.9208,0.0001,2.4033,-0.0663,0.005199,0.004781,0.00484
2024-08-02,2024-10-25,0.23,0.4168,2.9554,0.0001,1.7509,-0.0086,0.005626,0.005608,0.005606
2024-08-02,2024-11-08,0.2683,0.398,2.9989,0.094,1.0159,0.1038,0.002175,0.002559,0.000965
2024-08-02,2024-12-27,0.4025,0.3918,0.9997,0.0972,1.0054,0.0613,0.003913,0.003581,0.00311
2024-08-09,2024-12-27,0.3833,0.1103,7.9949,0.4746,1.0711,0.5029,0.003136,0.003009,0.003004
2024-08-09,2024-11-08,0.2491,0.3825,0.9979,0.0942,1.0357,0.1866,0.003449,0.003806,0.002943
2024-08-09,2024-10-25,0.2108,0.1177,7.9979,0.4821,1.0535,0.4334,0.007657,0.007412,0.006924
